                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1923,                 1.3732,                 1.2647,                0.52128,                0.43742,                0.45074,                0.33519,                  1.297,                  1.885,                 1.3345,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1957,                 1.4033,                 1.2681,                 0.4791,                0.47056,                0.45599,                0.34687,                 1.2804,                 1.8946,                 1.3217,               0.086005,               0.001005,               0.001005
