                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3514,                 2.0387,                  1.405,                0.48882,                 0.4519,                 0.4498,                0.33168,                 1.3037,                 1.8578,                 1.3419,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.3556,                 2.0533,                 1.4303,                0.49844,                0.47437,                0.46877,                0.34946,                 1.2847,                 1.7597,                   1.33,               0.086005,               0.001005,               0.001005
                      2,                 1.3256,                 1.9252,                 1.3869,                0.51777,                0.49424,                0.48638,                0.36466,                 1.2759,                 1.7264,                  1.324,               0.077782,               0.000782,               0.000782
